version,Name,God_Class,Lazy_Class,Complex_Class,Large_Class,Refused_Request,Data_Class,Feature_Envy,Brain_Class,Hub_Like_Dependency,Class_Cyclic_Dependency,Unhealthy_Inheritance_Hierarchy,Long_Method,Long_Parameter_List,Shotgun_Surgery,Brain_Method,Unstable_Dependency,Package_Cyclic_Dependency,Total,Distinct_Count,Vulnerability
6.0.0,android.widget.ZoomControls,0,0,0,0,0,1,0,0,0,0,0,2,7,0,0,0,0,10,3,
6.0.0,android.content.Context,0,0,0,1,0,1,0,0,0,0,0,1,75,46,0,5,0,129,6,
6.0.0,android.view.LayoutInflater,0,0,1,1,0,0,1,1,0,0,0,14,24,4,1,0,0,47,8,
6.0.0,android.view.MotionEvent,0,0,1,1,1,0,1,0,0,0,0,24,105,24,0,0,0,157,7,1
6.0.0,android.view.View,1,0,1,1,0,0,1,0,0,0,1,352,629,186,1,0,0,1173,9,
6.0.0,android.view.animation.AlphaAnimation,0,0,0,0,0,1,0,0,0,0,0,1,3,1,0,0,0,6,4,
6.0.0,android.widget.LinearLayout,0,0,1,1,0,0,1,0,0,0,0,27,38,3,0,0,0,71,6,
6.0.0,android.widget.ZoomButton,0,0,0,0,0,1,1,0,0,0,0,2,5,0,0,0,0,9,4,
6.0.0,android.view.animation.Animation,0,0,1,1,0,0,1,0,0,0,0,18,41,4,0,0,0,66,6,
6.0.0,com.android.internal.os.BatteryStatsImpl,1,0,1,1,1,0,1,0,0,0,1,172,213,4,0,0,0,395,9,
6.0.0,com.android.internal.os.BatteryStatsImpl.BatchTimer,0,0,0,0,0,1,0,0,0,0,0,7,10,0,0,0,0,18,3,
6.0.0,com.android.internal.os.BatteryStatsImpl.Counter,0,0,0,0,1,1,0,0,0,0,0,6,10,0,0,0,0,18,4,
6.0.0,com.android.internal.os.BatteryStatsImpl.LongSamplingCounter,0,0,0,0,1,1,0,0,0,0,0,5,10,1,0,0,0,18,5,
6.0.0,com.android.internal.os.BatteryStatsImpl.MyHandler,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,
6.0.0,com.android.internal.os.BatteryStatsImpl.OverflowArrayMap,0,0,0,0,0,1,0,0,0,0,0,4,6,0,0,0,0,11,3,
6.0.0,com.android.internal.os.BatteryStatsImpl.OverflowArrayMap.T,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,1,1,
6.0.0,com.android.internal.os.BatteryStatsImpl.SamplingTimer,0,0,0,0,0,1,0,0,0,0,0,8,13,0,0,0,0,22,3,
6.0.0,com.android.internal.os.BatteryStatsImpl.StopwatchTimer,0,0,0,0,0,0,0,0,1,0,0,11,15,3,0,0,0,30,4,
